query_id,text,intent,location,target_os,software,condition
q00151,Find systems needing RAM upgrade.,upgrade_planning,AI Lab,Ubuntu 24.04,Visual Studio Code,RAM upgrade
q00152,Can systems in Lab 1 support Windows 10?,os_compatibility_check,Lab 1,Windows 10,,
q00153,Check MATLAB compatibility for Block C.,software_compatibility_check,Block C,,MATLAB,
q00154,Plan upgrades for Block B to run Fedora 42.,upgrade_planning,Block B,Fedora 42,MATLAB,Secure Boot
q00155,Suggest an OS for computers in Network Lab.,os_recommendation,Network Lab,Debian 13,,
q00156,Which computers in Block C can run Linux Mint 22?,os_compatibility_check,Block C,Linux Mint 22,,
q00157,List computers with SSD in Block B.,hardware_query,Block B,,,
q00158,List computers with SSD in Lab 1.,hardware_query,Lab 1,,,
q00159,Which computers need GPU for MATLAB?,upgrade_planning,Block A,Windows 10,MATLAB,GPU
q00160,Suggest an OS for computers in Block B.,os_recommendation,Block B,Windows 11,,
q00161,Check PyCharm compatibility for Lab 1.,software_compatibility_check,Lab 1,,PyCharm,
q00162,Which systems support VS Code in Library?,software_compatibility_check,Library,,Visual Studio Code,
q00163,Display CPU details for Programming Lab.,hardware_query,Programming Lab,,,
q00164,Plan upgrades for Lab 2 to run Fedora 42.,upgrade_planning,Lab 2,Fedora 42,Oracle Database,Secure Boot
q00165,Which computers need Secure Boot for AutoCAD 2026?,upgrade_planning,Network Lab,Linux Mint 22,AutoCAD,Secure Boot
q00166,Recommend the best OS for AI Lab.,os_recommendation,AI Lab,Windows 10,,
q00167,List machines in Block C that meet Linux Mint 22 requirements.,os_compatibility_check,Block C,Linux Mint 22,,
q00168,Can computers in Block B run PyCharm?,software_compatibility_check,Block B,,PyCharm,
q00169,Show PCs in AI Lab incompatible with Windows 11.,os_compatibility_check,AI Lab,Windows 11,,
q00170,Show PCs in Programming Lab incompatible with Windows 10.,os_compatibility_check,Programming Lab,Windows 10,,
q00171,Recommend the best OS for Block A.,os_recommendation,Block A,Windows 10,,
q00172,What applications are compatible with Block A computers?,reverse_software_lookup,Block A,,MATLAB,
q00173,Check Oracle Database compatibility for Block B.,software_compatibility_check,Block B,,Oracle Database,
q00174,Show hardware details for Library.,hardware_query,Library,,,
q00175,Which systems support AutoCAD 2026 in Network Lab?,software_compatibility_check,Network Lab,,AutoCAD,
q00176,What applications are compatible with Network Lab computers?,reverse_software_lookup,Network Lab,,MATLAB,
q00177,Display CPU details for Programming Lab.,hardware_query,Programming Lab,,,
q00178,What applications are compatible with AI Lab computers?,reverse_software_lookup,AI Lab,,Android Studio,
q00179,Which software can run on computers in Block B?,reverse_software_lookup,Block B,,MATLAB,
q00180,List software supported by PCs in Library.,reverse_software_lookup,Library,,VMware Workstation,
q00181,List computers with SSD in Lab 2.,hardware_query,Lab 2,,,
q00182,List machines in Block B that meet Linux Mint 22 requirements.,os_compatibility_check,Block B,Linux Mint 22,,
q00183,Find software that runs on Network Lab.,reverse_software_lookup,Network Lab,,Visual Studio Code,
q00184,Check PyCharm compatibility for Programming Lab.,software_compatibility_check,Programming Lab,,PyCharm,
q00185,Which PCs in Lab 2 have 8 GB RAM?,hardware_query,Lab 2,,,
q00186,List computers with SSD in Library.,hardware_query,Library,,,
q00187,Which PCs in AI Lab have 8 GB RAM?,hardware_query,AI Lab,,,
q00188,Which systems support Android Studio in Programming Lab?,software_compatibility_check,Programming Lab,,Android Studio,
q00189,Suggest an OS for computers in AI Lab.,os_recommendation,AI Lab,Linux Mint 22,,
q00190,Show hardware details for Lab 1.,hardware_query,Lab 1,,,
q00191,Check MATLAB compatibility for Lab 1.,software_compatibility_check,Lab 1,,MATLAB,
q00192,Can systems in Programming Lab support Debian 13?,os_compatibility_check,Programming Lab,Debian 13,,
q00193,Display CPU details for Block C.,hardware_query,Block C,,,
q00194,Which computers in AI Lab can run Windows 10?,os_compatibility_check,AI Lab,Windows 10,,
q00195,Plan upgrades for Block A to run Fedora 42.,upgrade_planning,Block A,Fedora 42,Blender,GPU
q00196,List software supported by PCs in Network Lab.,reverse_software_lookup,Network Lab,,AutoCAD,
q00197,Which computers in Block A can run Linux Mint 22?,os_compatibility_check,Block A,Linux Mint 22,,
q00198,Show PCs in Network Lab incompatible with Debian 13.,os_compatibility_check,Network Lab,Debian 13,,
q00199,Display CPU details for Lab 1.,hardware_query,Lab 1,,,
q00200,Can systems in Block A support Windows 10?,os_compatibility_check,Block A,Windows 10,,
q00201,List machines in Block A that meet Windows 10 requirements.,os_compatibility_check,Block A,Windows 10,,
q00202,Can computers in Lab 2 run VS Code?,software_compatibility_check,Lab 2,,Visual Studio Code,
q00203,Find software that runs on Block B.,reverse_software_lookup,Block B,,Oracle Database,
q00204,Which PCs in Block B have 8 GB RAM?,hardware_query,Block B,,,
q00205,Which computers in Network Lab can run Windows 11?,os_compatibility_check,Network Lab,Windows 11,,
q00206,Show hardware details for Library.,hardware_query,Library,,,
q00207,Can systems in AI Lab support Fedora 42?,os_compatibility_check,AI Lab,Fedora 42,,
q00208,Which computers need GPU for AutoCAD 2026?,upgrade_planning,Lab 2,Windows 10,AutoCAD,GPU
q00209,List computers with SSD in Lab 2.,hardware_query,Lab 2,,,
q00210,Which systems support VS Code in Lab 1?,software_compatibility_check,Lab 1,,Visual Studio Code,
q00211,Which operating system is most suitable for Block C?,os_recommendation,Block C,Windows 10,,
q00212,Plan upgrades for Lab 1 to run Fedora 42.,upgrade_planning,Lab 1,Fedora 42,Oracle Database,Secure Boot
q00213,Can computers in Block A run AutoCAD 2026?,software_compatibility_check,Block A,,AutoCAD,
q00214,Plan upgrades for Block A to run Debian 13.,upgrade_planning,Block A,Debian 13,VMware Workstation,TPM
q00215,Is Android Studio supported in Block A?,software_compatibility_check,Block A,,Android Studio,
q00216,Which software can run on computers in Programming Lab?,reverse_software_lookup,Programming Lab,,Blender,
q00217,Which software can run on computers in AI Lab?,reverse_software_lookup,AI Lab,,Android Studio,
q00218,List computers with SSD in Block C.,hardware_query,Block C,,,
q00219,Is VS Code supported in Block B?,software_compatibility_check,Block B,,Visual Studio Code,
q00220,Show hardware details for Library.,hardware_query,Library,,,
q00221,Show PCs in Lab 2 incompatible with Windows 11.,os_compatibility_check,Lab 2,Windows 11,,
q00222,Display CPU details for Lab 2.,hardware_query,Lab 2,,,
q00223,Suggest an OS for computers in Block B.,os_recommendation,Block B,Linux Mint 22,,
q00224,Can computers in Network Lab run Blender?,software_compatibility_check,Network Lab,,Blender,
q00225,What applications are compatible with Lab 1 computers?,reverse_software_lookup,Lab 1,,Oracle Database,
q00226,Which software can run on computers in AI Lab?,reverse_software_lookup,AI Lab,,VMware Workstation,
q00227,Show PCs in Lab 1 incompatible with Fedora 42.,os_compatibility_check,Lab 1,Fedora 42,,
q00228,Which operating system is most suitable for Lab 2?,os_recommendation,Lab 2,Fedora 42,,
q00229,List software supported by PCs in AI Lab.,reverse_software_lookup,AI Lab,,Blender,
q00230,Check VS Code compatibility for AI Lab.,software_compatibility_check,AI Lab,,Visual Studio Code,
q00231,Can computers in Lab 2 run PyCharm?,software_compatibility_check,Lab 2,,PyCharm,
q00232,Check Android Studio compatibility for Programming Lab.,software_compatibility_check,Programming Lab,,Android Studio,
q00233,What applications are compatible with Block C computers?,reverse_software_lookup,Block C,,VMware Workstation,
q00234,List software supported by PCs in Block B.,reverse_software_lookup,Block B,,Oracle Database,
q00235,Which operating system is most suitable for Network Lab?,os_recommendation,Network Lab,Linux Mint 22,,
q00236,What applications are compatible with Block A computers?,reverse_software_lookup,Block A,,VMware Workstation,
q00237,Best operating system for Lab 1?,os_recommendation,Lab 1,Fedora 42,,
q00238,Recommend the best OS for Block C.,os_recommendation,Block C,Linux Mint 22,,
q00239,List computers with SSD in Block C.,hardware_query,Block C,,,
q00240,List machines in AI Lab that meet Windows 11 requirements.,os_compatibility_check,AI Lab,Windows 11,,
q00241,List software supported by PCs in Block B.,reverse_software_lookup,Block B,,PyCharm,
q00242,Which systems support Oracle Database in Library?,software_compatibility_check,Library,,Oracle Database,
q00243,Check AutoCAD 2026 compatibility for AI Lab.,software_compatibility_check,AI Lab,,AutoCAD,
q00244,List computers with SSD in Network Lab.,hardware_query,Network Lab,,,
q00245,Show PCs in Network Lab incompatible with Fedora 42.,os_compatibility_check,Network Lab,Fedora 42,,
q00246,What applications are compatible with Programming Lab computers?,reverse_software_lookup,Programming Lab,,MATLAB,
q00247,List software supported by PCs in Block A.,reverse_software_lookup,Block A,,Visual Studio Code,
q00248,Can systems in Network Lab support Windows 11?,os_compatibility_check,Network Lab,Windows 11,,
q00249,Can computers in Network Lab run AutoCAD 2026?,software_compatibility_check,Network Lab,,AutoCAD,
q00250,Can systems in Network Lab support Debian 13?,os_compatibility_check,Network Lab,Debian 13,,
q00251,Check Oracle Database compatibility for AI Lab.,software_compatibility_check,AI Lab,,Oracle Database,
q00252,What upgrades are required in Library?,upgrade_planning,Library,Ubuntu 24.04,Oracle Database,Secure Boot
q00253,Recommend the best OS for Block C.,os_recommendation,Block C,Ubuntu 24.04,,
q00254,Which systems support AutoCAD 2026 in Block A?,software_compatibility_check,Block A,,AutoCAD,
q00255,Which operating system is most suitable for Lab 1?,os_recommendation,Lab 1,Windows 10,,
q00256,Can systems in Block C support Fedora 42?,os_compatibility_check,Block C,Fedora 42,,
q00257,Recommend the best OS for Block B.,os_recommendation,Block B,Ubuntu 24.04,,
q00258,Which PCs in Lab 2 have 8 GB RAM?,hardware_query,Lab 2,,,
q00259,Show PCs in Lab 1 incompatible with Fedora 42.,os_compatibility_check,Lab 1,Fedora 42,,
q00260,Which PCs in Lab 1 have 8 GB RAM?,hardware_query,Lab 1,,,
q00261,Is VS Code supported in Block C?,software_compatibility_check,Block C,,Visual Studio Code,
q00262,Is Blender supported in Lab 2?,software_compatibility_check,Lab 2,,Blender,
q00263,Find software that runs on Library.,reverse_software_lookup,Library,,Android Studio,
q00264,Which computers need RAM upgrade for MATLAB?,upgrade_planning,Library,Debian 13,MATLAB,RAM upgrade
q00265,Suggest an OS for computers in Programming Lab.,os_recommendation,Programming Lab,Windows 10,,
q00266,List software supported by PCs in Programming Lab.,reverse_software_lookup,Programming Lab,,Visual Studio Code,
q00267,Show PCs in Lab 1 incompatible with Windows 10.,os_compatibility_check,Lab 1,Windows 10,,
q00268,Best operating system for Block B?,os_recommendation,Block B,Linux Mint 22,,
q00269,What upgrades are required in Network Lab?,upgrade_planning,Network Lab,Windows 10,MATLAB,Secure Boot
q00270,Suggest an OS for computers in Lab 1.,os_recommendation,Lab 1,Linux Mint 22,,
q00271,Best operating system for AI Lab?,os_recommendation,AI Lab,Windows 10,,
q00272,Suggest an OS for computers in Block C.,os_recommendation,Block C,Windows 10,,
q00273,Find software that runs on Lab 2.,reverse_software_lookup,Lab 2,,Blender,
q00274,Display CPU details for Lab 1.,hardware_query,Lab 1,,,
q00275,Which PCs in Library have 8 GB RAM?,hardware_query,Library,,,
q00276,List software supported by PCs in Block A.,reverse_software_lookup,Block A,,MATLAB,
q00277,Which computers need RAM upgrade for PyCharm?,upgrade_planning,Block C,Ubuntu 24.04,PyCharm,RAM upgrade
q00278,What upgrades are required in AI Lab?,upgrade_planning,AI Lab,Fedora 42,MATLAB,RAM upgrade
q00279,Find systems needing TPM.,upgrade_planning,Block C,Fedora 42,Oracle Database,TPM
q00280,Which computers need GPU for Android Studio?,upgrade_planning,Block A,Windows 10,Android Studio,GPU
q00281,List computers with SSD in Programming Lab.,hardware_query,Programming Lab,,,
q00282,Can computers in Block C run Blender?,software_compatibility_check,Block C,,Blender,
q00283,Can systems in Lab 1 support Windows 10?,os_compatibility_check,Lab 1,Windows 10,,
q00284,Can computers in AI Lab run Blender?,software_compatibility_check,AI Lab,,Blender,
q00285,Which computers in Lab 2 can run Linux Mint 22?,os_compatibility_check,Lab 2,Linux Mint 22,,
q00286,Which computers in Lab 2 can run Fedora 42?,os_compatibility_check,Lab 2,Fedora 42,,
q00287,Plan upgrades for Lab 1 to run Windows 11.,upgrade_planning,Lab 1,Windows 11,Visual Studio Code,Storage
q00288,List machines in Lab 1 that meet Fedora 42 requirements.,os_compatibility_check,Lab 1,Fedora 42,,
q00289,Display CPU details for Block C.,hardware_query,Block C,,,
q00290,Find systems needing Storage.,upgrade_planning,AI Lab,Windows 10,Android Studio,Storage
q00291,Find systems needing Secure Boot.,upgrade_planning,Lab 1,Windows 11,VMware Workstation,Secure Boot
q00292,Show hardware details for Lab 1.,hardware_query,Lab 1,,,
q00293,List software supported by PCs in Programming Lab.,reverse_software_lookup,Programming Lab,,PyCharm,
q00294,Best operating system for Network Lab?,os_recommendation,Network Lab,Fedora 42,,
q00295,Which operating system is most suitable for Block C?,os_recommendation,Block C,Windows 10,,
q00296,Which computers in Block A can run Linux Mint 22?,os_compatibility_check,Block A,Linux Mint 22,,
q00297,List software supported by PCs in Library.,reverse_software_lookup,Library,,Visual Studio Code,
q00298,Plan upgrades for Library to run Fedora 42.,upgrade_planning,Library,Fedora 42,Oracle Database,RAM upgrade
q00299,Is VS Code supported in Block A?,software_compatibility_check,Block A,,Visual Studio Code,
q00300,Display CPU details for AI Lab.,hardware_query,AI Lab,,,
q00301,Show PCs in Block A incompatible with Linux Mint 22.,os_compatibility_check,Block A,Linux Mint 22,,
q00302,Which systems support Android Studio in Block C?,software_compatibility_check,Block C,,Android Studio,
q00303,List machines in Network Lab that meet Debian 13 requirements.,os_compatibility_check,Network Lab,Debian 13,,
q00304,List software supported by PCs in Network Lab.,reverse_software_lookup,Network Lab,,PyCharm,
q00305,Display CPU details for Network Lab.,hardware_query,Network Lab,,,
q00306,List computers with SSD in Lab 1.,hardware_query,Lab 1,,,
q00307,Can computers in Block B run VS Code?,software_compatibility_check,Block B,,Visual Studio Code,
q00308,Which computers in Programming Lab can run Linux Mint 22?,os_compatibility_check,Programming Lab,Linux Mint 22,,
q00309,Which software can run on computers in AI Lab?,reverse_software_lookup,AI Lab,,PyCharm,
q00310,Best operating system for Programming Lab?,os_recommendation,Programming Lab,Linux Mint 22,,
q00311,List computers with SSD in Library.,hardware_query,Library,,,
q00312,List machines in Lab 2 that meet Windows 11 requirements.,os_compatibility_check,Lab 2,Windows 11,,
q00313,Best operating system for Library?,os_recommendation,Library,Fedora 42,,
q00314,Can systems in Network Lab support Ubuntu 24.04?,os_compatibility_check,Network Lab,Ubuntu 24.04,,
q00315,Best operating system for Block B?,os_recommendation,Block B,Fedora 42,,
q00316,Can systems in Library support Windows 11?,os_compatibility_check,Library,Windows 11,,
q00317,Plan upgrades for Lab 2 to run Linux Mint 22.,upgrade_planning,Lab 2,Linux Mint 22,VMware Workstation,Secure Boot
q00318,What applications are compatible with Block C computers?,reverse_software_lookup,Block C,,PyCharm,
q00319,Is VMware Workstation supported in Library?,software_compatibility_check,Library,,VMware Workstation,
